Date,ppt (mm)
6/18/2025,0
6/19/2025,0
6/20/2025,1.38
6/21/2025,0
6/22/2025,0
6/23/2025,0
6/24/2025,0
6/25/2025,0
6/26/2025,0
6/27/2025,0
6/28/2025,1.3
6/29/2025,0.4
6/30/2025,0
7/1/2025,0
7/2/2025,1.44
7/3/2025,7.44
7/4/2025,0
7/5/2025,0
7/6/2025,0
7/7/2025,1.66
7/8/2025,6.12
7/9/2025,0.74
7/10/2025,3.22
7/11/2025,17
7/12/2025,0.37
7/13/2025,0.97
7/14/2025,0
7/15/2025,5.76
7/16/2025,4.28
7/17/2025,1.59
7/18/2025,0
7/19/2025,18.76
7/20/2025,3.98
7/21/2025,0
7/22/2025,0
7/23/2025,0
7/24/2025,0
7/25/2025,0
7/26/2025,0
7/27/2025,0
7/28/2025,33.27
7/29/2025,0
7/30/2025,0
7/31/2025,0
8/1/2025,47.7
8/2/2025,0.87
8/3/2025,0
8/4/2025,0
8/5/2025,0
8/6/2025,0
8/7/2025,10.15
8/8/2025,0
8/9/2025,0
8/10/2025,0
8/11/2025,0
8/12/2025,0.38
8/13/2025,0
8/14/2025,0
8/15/2025,10.59
8/16/2025,0
8/17/2025,0
8/18/2025,0.34
8/19/2025,99.69
8/20/2025,0.25
8/21/2025,0.27
8/22/2025,0.44
8/23/2025,0
8/24/2025,0
8/25/2025,0
8/26/2025,0
8/27/2025,0
8/28/2025,0
8/29/2025,0
8/30/2025,0
8/31/2025,0
9/1/2025,0
9/2/2025,0
9/3/2025,0
9/4/2025,0
9/5/2025,0.73
9/6/2025,0
9/7/2025,4.57
9/8/2025,0
9/9/2025,0
9/10/2025,4.45
9/11/2025,6.43
9/12/2025,1.34
9/13/2025,0
9/14/2025,0
9/15/2025,0
9/16/2025,40.56
9/17/2025,64.01
9/18/2025,0
9/19/2025,0.3
9/20/2025,0
9/21/2025,0
9/22/2025,0
9/23/2025,0
9/24/2025,0
9/25/2025,0
9/26/2025,31.63
9/27/2025,6.24
9/28/2025,32.33
9/29/2025,0
9/30/2025,0
10/1/2025,0
10/2/2025,0
10/3/2025,0
10/4/2025,0
10/5/2025,0
10/6/2025,0
10/7/2025,0
10/8/2025,0
10/9/2025,0.52
10/10/2025,0
10/11/2025,0
10/12/2025,13.52
10/13/2025,7.29
10/14/2025,0.42
10/15/2025,0
10/16/2025,0
10/17/2025,0
10/18/2025,0
10/19/2025,0
10/20/2025,0.33
10/21/2025,0
10/22/2025,0
10/23/2025,0
10/24/2025,0
10/25/2025,0
10/26/2025,0
10/27/2025,0
10/28/2025,9.14
10/29/2025,10.16
10/30/2025,15.3
10/31/2025,0.68
11/1/2025,0
11/2/2025,0
11/3/2025,14.85
11/4/2025,2.14
11/5/2025,0
11/6/2025,0
11/7/2025,0
11/8/2025,0
11/9/2025,1.82
11/10/2025,4.71
11/11/2025,0.32
11/12/2025,0
11/13/2025,0
11/14/2025,0
11/15/2025,0
11/16/2025,0
11/17/2025,0
11/18/2025,0
11/19/2025,1.32
11/20/2025,0
